[('tile_ic', [-1, 2]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,1
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,58
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,59
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,60
[('tile_ic', [-1, 128]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,61
[('tile_ic', [-1, 256]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,62
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 128]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,63
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 128]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,64
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 128]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,65
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 128]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,66
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 128]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,67
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 128]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,68
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 128]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,69
[('tile_ic', [-1, 128]), ('tile_oc', [-1, 128]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,70
[('tile_ic', [-1, 256]), ('tile_oc', [-1, 128]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,71
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 256]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,72
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 256]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,73
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 256]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,74
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 256]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,75
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 256]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,76
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 256]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,77
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 256]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,78
[('tile_ic', [-1, 128]), ('tile_oc', [-1, 256]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,79
[('tile_ic', [-1, 256]), ('tile_oc', [-1, 256]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,80
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 512]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,81
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 512]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,82
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 512]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,83
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 512]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,84
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 512]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,85
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 512]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,86
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 512]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,87
[('tile_ic', [-1, 128]), ('tile_oc', [-1, 512]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,88
[('tile_ic', [-1, 256]), ('tile_oc', [-1, 512]), ('tile_ow', [-1, 1]), ('tile_oh', 1)],direct,None,89
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,90
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,91
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,92
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,93
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,94
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,95
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,96
[('tile_ic', [-1, 128]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,97
[('tile_ic', [-1, 256]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,98
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,99
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,100
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,101
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,102
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,103
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,104
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,105
[('tile_ic', [-1, 128]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,106
[('tile_ic', [-1, 256]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,107
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,108
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,109
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,110
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,111
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,112
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,113
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,114
[('tile_ic', [-1, 128]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,115
[('tile_ic', [-1, 256]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,116
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,117
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,118
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,119
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,120
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,121
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,122
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,123
[('tile_ic', [-1, 128]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,124
[('tile_ic', [-1, 256]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,125
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,126
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,127
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,128
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,129
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,130
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,131
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,132
[('tile_ic', [-1, 128]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,133
[('tile_ic', [-1, 256]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,134
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,135
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,136
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,137
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,138
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,139
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,140
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,141
[('tile_ic', [-1, 128]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,142
[('tile_ic', [-1, 256]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,143
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,144
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,145
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,146
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,147
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,148
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,149
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,150
[('tile_ic', [-1, 128]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,151
[('tile_ic', [-1, 256]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,152
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 128]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,153
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 128]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,154
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 128]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,155
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 128]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,156
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 128]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,157
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 128]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,158
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 128]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,159
[('tile_ic', [-1, 128]), ('tile_oc', [-1, 128]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,160
[('tile_ic', [-1, 256]), ('tile_oc', [-1, 128]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,161
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 256]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,162
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 256]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,163
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 256]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,164
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 256]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,165
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 256]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,166
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 256]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,167
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 256]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,168
[('tile_ic', [-1, 128]), ('tile_oc', [-1, 256]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,169
[('tile_ic', [-1, 256]), ('tile_oc', [-1, 256]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,170
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 512]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,171
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 512]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,172
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 512]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,173
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 512]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,174
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 512]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,175
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 512]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,176
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 512]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,177
[('tile_ic', [-1, 128]), ('tile_oc', [-1, 512]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,178
[('tile_ic', [-1, 256]), ('tile_oc', [-1, 512]), ('tile_ow', [-1, 7]), ('tile_oh', 1)],direct,None,179
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,180
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,181
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,182
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,183
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,184
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,185
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,186
[('tile_ic', [-1, 128]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,187
[('tile_ic', [-1, 256]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,188
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,189
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,190
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,191
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,192
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,193
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,194
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,195
[('tile_ic', [-1, 128]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,196
[('tile_ic', [-1, 256]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,197
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,198
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,199
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,200
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,201
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,202
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,203
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,204
[('tile_ic', [-1, 128]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,205
[('tile_ic', [-1, 256]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,206
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 1]), ('tile_oh', 2)],direct,None,207
