[('tile_ic', [-1, 4]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,58
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,59
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,60
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,61
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,62
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,63
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,64
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,65
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,66
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,67
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,68
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,69
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,70
[('tile_ic', [-1, 2]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,71
[('tile_ic', [-1, 4]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,72
[('tile_ic', [-1, 8]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,73
[('tile_ic', [-1, 16]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,74
[('tile_ic', [-1, 32]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,75
[('tile_ic', [-1, 64]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 2]), ('tile_oh', 1)],direct,None,76
